label,message,clean_text
0,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",go until jurong point crazy available only bugis n great world la e buffet cine there got amore wat
0,Ok lar... Joking wif u oni...,ok lar joking wif u oni
1,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,free entry 2 wkly comp win fa cup final tkts 21st may 2005 text fa 87121 receive entry question std txt rate t c s apply 08452810075over18 s
0,U dun say so early hor... U c already then say...,u dun say early hor u c already say
0,"Nah I don't think he goes to usf, he lives around here though",nah i don t think goes usf lives around here though
1,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv",freemsg hey there darling s 3 week s now no word back i d like some fun up still tb ok xxx std chgs send cur 1 50 rcv
0,Even my brother is not like to speak with me. They treat me like aids patent.,even brother not like speak treat like aids patent
0,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,per request melle melle oru minnaminunginte nurungu vettam set callertune all callers press 9 copy friends callertune
1,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,winner valued network customer selected receivea cur 900 prize reward claim call 09061701461 claim code kl341 valid 12 hours only
1,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,mobile 11 months more u r entitled update latest colour mobiles camera free call mobile update co free 08002986030
0,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",i m gonna home soon i don t want talk about stuff anymore tonight k i ve cried enough today
1,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",six chances win cash 100 20 000 pounds txt csh11 send 87575 cost 150p day 6days 16 tsandcs apply reply hl 4 info
1,"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",urgent won 1 week free membership cur 100 000 prize jackpot txt word claim no 81010 t c url lccltd pobox 4403ldnw1a7rw18
0,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,i ve searching right words thank breather i promise i wont take help granted will fulfil promise wonderful blessing all times
0,I HAVE A DATE ON SUNDAY WITH WILL!!,i date sunday will
1,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",xxxmobilemovieclub use credit click wap link next txt message click here url xxxmobilemovieclub com n qjkgighjjgcbl
0,Oh k...i'm watching here:),oh k i m watching here
0,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,eh u remember how 2 spell name yes i v naughty make until i v wet
0,Fine if thatåÕs the way u feel. ThatåÕs the way its gota b,fine s way u feel s way gota b
1,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+",england v macedonia dont miss goals team news txt ur national team 87077 eg england 87077 try wales scotland 4txt 1 20 poboxox36504w45wq 16
0,Is that seriously how you spell his name?,seriously how spell name
0,IÛ÷m going to try for 2 months ha ha only joking,i m going try 2 months ha ha only joking
0,So Ì_ pay first lar... Then when is da stock comin...,pay first lar when da stock comin
0,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,aft i finish lunch i go str down lor ard 3 smth lor u finish ur lunch already
0,Ffffffffff. Alright no way I can meet up with you sooner?,ffffffffff alright no way i can meet up sooner
0,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,just forced myself eat slice i m really not hungry tho sucks mark getting worried knows i m sick when i turn down pizza lol
0,Lol your always so convincing.,lol always convincing
0,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,catch bus frying egg make tea eating mom s left over dinner feel love
0,"I'm back &amp; we're packing the car now, I'll let you know if there's room",i m back amp re packing car now i ll let know there s room
0,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,ahhh work i vaguely remember what feel like lol
0,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",wait s still not all clear not sure about sarcastic s why x doesn t want live us
0,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You?,yeah got 2 v apologetic n fallen out actin like spoilt child got caught up till 2 won t go there not too badly cheers
0,K tell me anything about you.,k tell anything about
0,For fear of fainting with the of all that housework you just did? Quick have a cuppa,fear fainting all housework just quick cuppa
1,Thanks for your subscription to Ringtone UK your mobile will be charged å£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,thanks subscription ringtone uk mobile will charged cur 5 month please confirm replying yes no reply no will not charged
0,Yup... Ok i go home look at the timings then i msg Ì_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,yup ok i go home look timings i msg again xuhui going learn 2nd may too lesson 8am
0,"Oops, I'll let you know when my roommate's done",oops i ll let know when roommate s done
0,I see the letter B on my car,i see letter b car
0,Anything lor... U decide...,anything lor u decide
0,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,hello how s how saturday go i just texting see d decided anything tomo not i m trying invite myself anything
0,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,pls go ahead watts i just wanted sure great weekend abiola
0,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",i forget tell i want i need i crave most all i love sweet arabian steed mmmmmm yummy
1,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,07732584351 rodger burns msg tried call re reply sms free nokia mobile free camcorder please call now 08000930705 delivery tomorrow
0,WHO ARE YOU SEEING?,who seeing
0,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,great i hope like man well endowed i lt gt inches
0,No calls..messages..missed calls,no calls messages missed calls
0,Didn't you get hep b immunisation in nigeria.,didn t get hep b immunisation nigeria
0,"Fair enough, anything going on?",fair enough anything going
0,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",yeah hopefully tyler can t i could maybe ask around bit
0,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,u don t know how stubborn i i didn t even want go hospital i kept telling mark i m not weak sucker hospitals weak suckers
0,What you thinked about me. First time you saw me in class.,what thinked about first time saw class
0,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",gram usually runs like lt gt half eighth smarter though gets almost whole second gram lt gt
0,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,k fyi x ride early tomorrow morning s crashing place tonight
0,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.""",wow i never realized embarassed accomodations i thought liked since i best i could always seemed happy about cave i m sorry i didn t don t more give i m sorry i offered i m sorry room embarassing
1,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,sms ac sptv new jersey devils detroit red wings play ice hockey correct incorrect end reply end sptv
0,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,know what mallika sherawat yesterday find out now lt url gt
1,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!",congrats 1 year special cinema pass 2 call 09061209465 now c suprman v matrix3 starwars3 etc all 4 free bx420 ip4 5we 150pm dont miss out
0,"Sorry, I'll call later in meeting.",sorry i ll call later meeting
0,Tell where you reached,tell where reached
0,Yes..gauti and sehwag out of odi series.,yes gauti sehwag out odi series
0,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,gonna pick up cur 1 burger yourself way home i can t even move pain killing
0,Ha ha ha good joke. Girls are situation seekers.,ha ha ha good joke girls situation seekers
0,Its a part of checking IQ,part checking iq
0,"Sorry my roommates took forever, it ok if I come by now?",sorry roommates took forever ok i come now
0,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,ok lar i double check wif da hair dresser already said wun cut v short said will cut until i look nice
1,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066364589",valued customer i pleased advise following recent review mob no awarded cur 1500 bonus prize call 09066364589
0,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""",today song dedicated day which song will u dedicate send all ur valuable frnds first rply
1,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or å£1000. To claim txt DIS to 87121 18+6*å£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",urgent ur awarded complimentary trip eurodisinc trav aco entry41 cur 1000 claim txt dis 87121 18 6 cur 1 50 morefrmmob shracomorsglsuplt 10 ls1 3aj
1,"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!""",hear about new divorce barbie comes all ken s stuff
0,I plane to give on this month end.,i plane give month end
0,Wah lucky man... Then can save money... Hee...,wah lucky man can save money hee
0,Finished class where are you.,finished class where
0,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,hi babe im home now wanna something xx
0,K..k:)where are you?how did you performed?,k k where how performed
0,U can call me now...,u can call now
0,I am waiting machan. Call me once you free.,i waiting machan call once free
0,Thats cool. i am a gentleman and will treat you with dignity and respect.,thats cool i gentleman will treat dignity respect
0,I like you peoples very much:) but am very shy pa.,i like peoples very much very shy pa
0,Does not operate after  &lt;#&gt;  or what,not operate after lt gt what
0,Its not the same here. Still looking for a job. How much do Ta's earn there.,not same here still looking job how much ta s earn there
0,"Sorry, I'll call later",sorry i ll call later
0,K. Did you call me just now ah?,k call just now ah
0,Ok i am on the way to home hi hi,ok i way home hi hi
0,You will be in the place of that man,will place man
0,Yup next stop.,yup next stop
0,"I call you later, don't have network. If urgnt, sms me.",i call later don t network urgnt sms
0,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,real when u getting yo i only need 2 more tickets one more jacket i m done i already used all multis
0,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,yes i started send requests make pain came back i m back bed double coins factory too i gotta cash all nitros
0,I'm really not up to it still tonight babe,i m really not up still tonight babe
0,"Ela kano.,il download, come wen ur free..",ela kano il download come wen ur free
0,Yeah do! DonÛ÷t stand to close tho- youÛ÷ll catch something!,yeah don t stand close tho ll catch something
0,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry.,sorry pain ok meet another night i spent late afternoon casualty means i haven t done any y stuff42moro includes all time sheets sorry
0,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,smile pleasure smile pain smile when trouble pours like rain smile when sum1 hurts u smile becoz someone still loves see u smiling
1,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,please call customer service representative 0800 169 6031 between 10am 9pm won guaranteed cur 1000 cash cur 5000 prize
0,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,havent planning buy later i check already lido only got 530 show e afternoon u finish work already
1,"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML",free ringtone waiting collected simply text password mix 85069 verify get usher britney fml
0,Watching telugu movie..wat abt u?,watching telugu movie wat abt u
0,i see. When we finish we have loads of loans to pay,i see when finish loads loans pay
0,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""ham""",hi wk ok hols now yes bit run forgot i hairdressers appointment four need get home n shower beforehand cause prob u ham
0,Please don't text me anymore. I have nothing else to say.,please don t text anymore i nothing else say
0,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,okay name ur price long legal wen can i pick up y u ave x ams xx
0,I'm still looking for a car to buy. And have not gone 4the driving test yet.,i m still looking car buy not gone 4the driving test yet
0,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,per request melle melle oru minnaminunginte nurungu vettam set callertune all callers press 9 copy friends callertune
0,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",wow re right i didn t mean i guess once i gave up boston men changed search location nyc something changed cuz signin page still says boston
0,Umma my life and vava umma love you lot dear,umma life vava umma love lot dear
0,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,thanks lot wishes birthday thanks making birthday truly memorable
0,"Aight, I'll hit you up when I get some cash",aight i ll hit up when i get some cash
0,How would my ip address test that considering my computer isn't a minecraft server,how would ip address test considering computer isn t minecraft server
0,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,i know grumpy old people mom like better not lying again i always one play jokes
0,Dont worry. I guess he's busy.,dont worry i guess s busy
0,What is the plural of the noun research?,what plural noun research
0,Going for dinner.msg you after.,going dinner msg after
0,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,i m ok wif cos i like 2 try new things i scared u dun like mah cos u said not too loud
1,GENT! We are trying to contact you. Last weekends draw shows that you won a å£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,gent trying contact last weekends draw shows won cur 1000 prize guaranteed call 09064012160 claim code k52 valid 12hrs only 150ppm
0,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",wa ur openin sentence very formal anyway i m fine too juz tt i m eatin too much n puttin weight haha anythin special happened
0,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",i entered cabin pa said happy b day boss i felt special askd 4 lunch after lunch invited apartment went there
1,You are a winner U have been specially selected 2 receive å£1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+),winner u specially selected 2 receive cur 1000 4 holiday flights inc speak live operator 2 claim 0871277810910p min 18
0,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed!,goodo yes must speak friday egg potato ratio tortilla needed
0,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,hmm uncle just informed s paying school directly pls buy food
1,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,private 2004 account statement 07742676969 shows 786 unredeemed bonus points claim call 08719180248 identifier code 45239 expires
1,"URGENT! Your Mobile No. was awarded å£2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",urgent mobile no awarded cur 2000 bonus caller prize 5 9 03 final try contact u call landline 09064019788 box42wr29c 150ppm
0,here is my new address -apples&pairs&all that malarky,here new address apples pairs all malarky
1,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,todays voda numbers ending 7548 selected receive cur 350 award match please call 08712300220 quoting claim code 4041 standard rates app
